Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
1731,Chan Chan,Buena Vista Social Club,latin jazz,1997,166,50,40,-12,10,68,257,83,4,68
1293,Heaven,Bryan Adams,album rock,1984,140,59,38,-7,12,34,243,5,3,76
1700,Jump,Van Halen,album rock,1996,130,82,55,-7,6,77,240,7,3,57
592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,84
73,Where Do You Go To (My Lovely) - Re-Recorded,Peter Sarstedt,british folk,2008,183,44,56,-8,12,44,288,29,3,58
1314,Kronenburg Park,Frank Boeijen Groep,dutch cabaret,1985,90,55,50,-13,10,45,244,45,3,53
1455,Mushanga,TOTO,album rock,1988,122,31,72,-19,9,51,335,9,4,45
1166,Once in a Lifetime - 2005 Remaster,Talking Heads,alternative rock,1980,117,92,64,-6,62,87,260,18,6,69
629,Hold Me,Douwe Bob,dutch americana,2015,161,38,35,-8,15,36,230,61,3,26
482,Holiday In Spain,Counting Crows,alternative rock,2012,126,32,65,-11,13,28,233,66,3,56
1608,Alles Geprobeerd,Het Goede Doel,dutch pop,1993,76,56,59,-15,8,84,388,11,4,38
507,I Won't Give Up,Jason Mraz,acoustic pop,2012,137,30,59,-10,12,14,240,69,4,72
963,The Way We Were,Barbra Streisand,adult standards,1974,138,32,26,-12,13,17,211,89,3,59
768,Skandal im Sperrbezirk,Spider Murphy Gang,austropop,2018,93,84,64,-8,21,89,216,42,4,26
1984,Black Magic Woman - 2018 Remaster,Fleetwood Mac,album rock,1969,129,41,46,-11,28,44,173,5,4,48
1778,Non non rien n'a changé,Les Poppys,alternative pop rock,1998,84,48,50,-8,20,47,190,48,9,50
1384,Live to Tell,Madonna,dance pop,1986,110,31,67,-14,11,27,353,41,3,56
1957,You Can't Always Get What You Want,The Rolling Stones,album rock,1969,86,62,32,-10,25,47,449,64,6,67
312,Kids,MGMT,alternative dance,2007,123,93,45,-4,36,17,303,0,7,76
1211,Run to the Hills - 2015 Remaster,Iron Maiden,album rock,1982,174,94,25,-5,16,46,234,3,7,60
406,Wonderful Days,Charly Lownoise,happy hardcore,2010,174,92,55,-11,99,11,332,1,7,37
1603,Creep,Radiohead,alternative rock,1993,92,43,52,-10,13,10,239,1,4,82
1461,Into Temptation,Crowded House,australian pop,1988,84,37,45,-16,8,26,274,48,3,49
310,God Is a DJ,Faithless,big beat,2005,131,90,61,-7,17,39,209,18,4,57
227,One,Mary J. Blige,dance pop,2005,186,87,34,-3,13,27,260,8,8,61
1693,High And Dry,Radiohead,alternative rock,1995,88,38,42,-12,9,35,257,7,3,72
708,Thinking Of A Place,The War On Drugs,chamber pop,2017,103,63,48,-7,12,16,671,39,3,59
1524,Who Wants To Live Forever - Remastered 2011,Queen,glam rock,1991,87,40,14,-9,12,4,295,58,4,51
1628,I Want You Back,The Jackson 5,adult standards,1993,98,54,64,-13,28,94,181,49,3,65
793,Phantom Of The Opera,Floor Jansen,dutch pop,2019,132,87,47,-6,25,27,244,0,5,56
149,I Want To Hold Your Hand - Remastered 2015,The Beatles,british invasion,2000,131,72,49,-6,31,87,146,39,5,75
807,Du,Peter Maffay,classic schlager,1970,94,45,49,-12,43,46,298,15,3,53
818,Question,The Moody Blues,album rock,1970,76,66,22,-10,47,32,344,2,5,50
915,Dream On,Aerosmith,album rock,1973,161,43,31,-10,33,22,267,39,3,78
813,Teach Your Children,"Crosby, Stills, Nash & Young",album rock,1970,155,28,50,-15,39,67,173,64,3,63
833,Into the Mystic - 2013 Remaster,Van Morrison,classic rock,1970,86,52,61,-10,12,80,206,37,3,72
576,Under The Pressure,The War On Drugs,chamber pop,2014,134,71,33,-7,13,19,532,31,3,60
